Route,DepartureTime,ArrivalTime,Airline,Price,Connection,Duration
İstanbul-Lefkoşa,06:00,06:30,Pegasus,1.02,Direkt Uçuş,1sa 30dk
İstanbul-Lefkoşa,06:50,07:25,AJet,1.59,Direkt Uçuş,1sa 35dk
İstanbul-Lefkoşa,13:00,13:35,AJet,2.10,Direkt Uçuş,1sa 35dk
İstanbul-Lefkoşa,09:55,10:30,AJet,2.64,Direkt Uçuş,1sa 35dk
İstanbul-Lefkoşa,18:00,18:35,AJet,2.64,Direkt Uçuş,1sa 35dk
İstanbul-Lefkoşa,18:50,19:25,AJet,2.64,Direkt Uçuş,1sa 35dk
İstanbul-Lefkoşa,20:55,21:30,AJet,2.64,Direkt Uçuş,1sa 35dk
İstanbul-Lefkoşa,12:35,19:10,AJet,2.91,1 Aktarma,7sa 35dk
İstanbul-Lefkoşa,09:10,19:10,AJet,2.91,1 Aktarma,11sa
İstanbul-Lefkoşa,05:55,19:10,AJet,2.91,1 Aktarma,14sa 15dk
İstanbul-Lefkoşa,00:05,19:10,AJet,2.91,1 Aktarma,20sa 5dk
İstanbul-Lefkoşa,23:10,23:40,Pegasus,3.01,Direkt Uçuş,1sa 30dk
İstanbul-Lefkoşa,07:45,08:25,Pegasus,3.09,Direkt Uçuş,1sa 40dk
İstanbul-Lefkoşa,15:55,19:10,AJet,3.11,1 Aktarma,4sa 15dk
İstanbul-Lefkoşa,23:45,11:30,AJet,3.34,1 Aktarma,12sa 45dk
İstanbul-Lefkoşa,23:45,18:30,AJet,3.34,1 Aktarma,19sa 45dk
İstanbul-Lefkoşa,15:55,16:25,Pegasus,3.39,Direkt Uçuş,1sa 30dk
İstanbul-Lefkoşa,21:30,19:10,AJet,3.64,1 Aktarma,22sa 40dk
İstanbul-Lefkoşa,01:45,02:20,Türk Hava Yolları,3.65,Direkt Uçuş,1sa 35dk
İstanbul-Lefkoşa,07:45,08:20,Türk Hava Yolları,3.65,Direkt Uçuş,1sa 35dk
İstanbul-Lefkoşa,11:35,12:10,Türk Hava Yolları,3.65,Direkt Uçuş,1sa 35dk
İstanbul-Lefkoşa,09:50,10:30,Türk Hava Yolları,3.65,Direkt Uçuş,1sa 40dk
İstanbul-Lefkoşa,14:40,15:20,Türk Hava Yolları,3.65,Direkt Uçuş,1sa 40dk
İstanbul-Lefkoşa,22:35,23:15,Türk Hava Yolları,3.65,Direkt Uçuş,1sa 40dk
İstanbul-Lefkoşa,15:45,16:30,Türk Hava Yolları,3.65,Direkt Uçuş,1sa 45dk
İstanbul-Lefkoşa,00:25,01:00,AJet,3.70,Direkt Uçuş,1sa 35dk
İstanbul-Lefkoşa,20:55,11:30,AJet,3.72,1 Aktarma,15sa 35dk
İstanbul-Lefkoşa,20:55,18:30,AJet,3.72,1 Aktarma,22sa 35dk
İstanbul-Lefkoşa,06:00,11:30,AJet,3.77,1 Aktarma,6sa 30dk
İstanbul-Lefkoşa,08:00,15:40,AJet,4.16,1 Aktarma,8sa 40dk
İstanbul-Lefkoşa,05:55,15:40,AJet,4.16,1 Aktarma,10sa 45dk
İstanbul-Lefkoşa,08:00,20:55,AJet,4.16,1 Aktarma,13sa 55dk
İstanbul-Lefkoşa,05:55,20:55,AJet,4.16,1 Aktarma,16sa
İstanbul-Lefkoşa,18:15,15:40,AJet,4.28,1 Aktarma,22sa 25dk
İstanbul-Lefkoşa,11:45,15:40,AJet,4.33,1 Aktarma,4sa 55dk
İstanbul-Lefkoşa,14:40,20:55,AJet,4.33,1 Aktarma,7sa 15dk
İstanbul-Lefkoşa,00:55,08:05,AJet,4.33,1 Aktarma,8sa 10dk
İstanbul-Lefkoşa,11:45,20:55,AJet,4.33,1 Aktarma,10sa 10dk
İstanbul-Lefkoşa,00:55,15:40,AJet,4.33,1 Aktarma,15sa 45dk
İstanbul-Lefkoşa,21:15,15:40,AJet,4.48,1 Aktarma,19sa 25dk
İstanbul-Lefkoşa,21:15,19:15,AJet,4.48,1 Aktarma,23sa
İstanbul-Lefkoşa,19:30,20:00,Pegasus,4.51,Direkt Uçuş,1sa 30dk
İstanbul-Lefkoşa,17:40,18:10,Pegasus,4.53,Direkt Uçuş,1sa 30dk
İstanbul-Lefkoşa,08:00,19:15,AJet,4.63,1 Aktarma,12sa 15dk
İstanbul-Lefkoşa,05:55,19:15,AJet,4.63,1 Aktarma,14sa 20dk
İstanbul-Lefkoşa,18:30,19:10,Pegasus,4.66,Direkt Uçuş,1sa 40dk
İstanbul-Lefkoşa,18:15,20:55,AJet,4.80,1 Aktarma,3sa 40dk
İstanbul-Lefkoşa,10:00,15:40,AJet,4.80,1 Aktarma,6sa 40dk
İstanbul-Lefkoşa,10:00,20:55,AJet,4.80,1 Aktarma,11sa 55dk
İstanbul-Lefkoşa,14:40,19:15,AJet,4.85,1 Aktarma,5sa 35dk
İstanbul-Lefkoşa,11:45,19:15,AJet,4.85,1 Aktarma,8sa 30dk
İstanbul-Lefkoşa,14:40,08:05,AJet,4.85,1 Aktarma,18sa 25dk
İstanbul-Lefkoşa,00:55,19:15,AJet,4.85,1 Aktarma,19sa 20dk
İstanbul-Lefkoşa,19:50,20:30,Türk Hava Yolları,5.09,Direkt Uçuş,1sa 40dk
İstanbul-Lefkoşa,10:00,19:15,AJet,5.38,1 Aktarma,10sa 15dk
İstanbul-Lefkoşa,18:15,08:05,AJet,5.38,1 Aktarma,14sa 50dk
İstanbul-Lefkoşa,21:15,08:05,AJet,5.58,1 Aktarma,11sa 50dk
İstanbul-Lefkoşa,15:30,20:05,Türk Hava Yolları,5.88,1 Aktarma,5sa 35dk
İstanbul-Lefkoşa,14:40,20:05,Türk Hava Yolları,5.88,1 Aktarma,6sa 25dk
İstanbul-Lefkoşa,13:40,20:05,Türk Hava Yolları,5.88,1 Aktarma,7sa 25dk
İstanbul-Lefkoşa,12:55,20:05,Türk Hava Yolları,5.88,1 Aktarma,8sa 10dk
İstanbul-Lefkoşa,06:00,18:30,AJet,6.03,1 Aktarma,13sa 30dk
İstanbul-Lefkoşa,13:45,14:15,Pegasus,7.51,Direkt Uçuş,1sa 30dk
İstanbul-Lefkoşa,12:35,13:05,Pegasus,8.77,Direkt Uçuş,1sa 30dk
